"tabla","variable","etiqueta","tipo","codigo","categoria"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","472","Paunaca"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","473","Raqaypampa"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","474","Sora"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","475","Charka Qhara Qhara"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","476","Trinitario"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","477","Quechua - Aymara"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","501","Pueblos indígenas de Argentina"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","502","Pueblos indígenas de Brasil"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","503","Pueblos indígenas de Chile"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","504","Pueblos indígenas de Colombia"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","505","Pueblos indígenas del Ecuador"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","506","Pueblos indígenas de Estados Unidos"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","507","Pueblos indígenas de México"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","509","Pueblos indígenas del Perú"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","510","Pueblos indígenas de Uruguay"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","511","Pueblos indígenas de Venezuela"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","591","Pueblos indígenas de América"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","592","Pueblos indígenas del África"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","593","Otros pueblos indígenas extranjeros"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","900","Más de una descripción"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","901","Nación"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","902","Pueblo"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","903","Indígena"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","904","Originario"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","905","Campesino"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","906","Combinación de conceptos de NPIOC"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","907","Otros ayllus, marcas y organizaciones territoriales"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","909","Interculturales y otras organizaciones indígenas"
